Date and Time: 2026-01-29 10:16:20,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,0.936,0.127,30.92627,31.24811,31.61191,31.7283,31.94238,31.89185,31.91309,31.94345
0.076259851,1.134,0.182,30.91843,31.23627,31.60031,31.71677,31.93402,31.88248,31.90405,31.9346
0.151639938,1.264,0.259,30.91315,31.22867,31.59229,31.71045,31.92673,31.87677,31.89804,31.92905
0.227118015,1.46,0.331,30.90845,31.21942,31.58069,31.69888,31.91663,31.86771,31.89075,31.92117
0.301873922,1.591,0.423,30.90475,31.21329,31.57245,31.69199,31.91037,31.86154,31.88544,31.91629
0.378139973,1.784,0.505,30.89868,31.20242,31.56421,31.68195,31.9007,31.85059,31.87558,31.9079
0.454403877,1.912,0.6,30.89545,31.19653,31.55377,31.6756,31.89386,31.8457,31.87018,31.90076
0.530197859,2.104,0.683,30.8924,31.18787,31.54517,31.66516,31.88446,31.83722,31.86172,31.89203
0.605381012,2.232,0.778,30.88974,31.18262,31.5379,31.65924,31.87735,31.83154,31.85565,31.88593
0.681590796,2.418,0.863,30.88525,31.1745,31.52924,31.64938,31.86765,31.8212,31.84631,31.87909
0.757398844,2.544,0.958,30.88245,31.16937,31.52319,31.64301,31.86151,31.8147,31.84079,31.87323
0.833618879,2.729,1.04,30.88004,31.16141,31.51337,31.63327,31.85248,31.80588,31.83173,31.86295
0.907653809,2.85,1.134,30.87842,31.15652,31.50757,31.62726,31.84604,31.79974,31.82635,31.85712
0.985358953,3.031,1.217,30.87701,31.15039,31.4985,31.61853,31.83594,31.79044,31.81747,31.84998
1.059486866,3.152,1.309,30.87653,31.14578,31.49347,31.61203,31.82986,31.78424,31.81155,31.84384
1.136794806,3.329,1.388,30.87344,31.13828,31.48508,31.6048,31.82013,31.77557,31.80215,31.83282
1.21011591,3.445,1.481,30.87411,31.13547,31.47861,31.5983,31.81424,31.76849,31.79599,31.82724
1.287877798,3.618,1.558,30.87592,31.13092,31.47076,31.58896,31.80481,31.76044,31.78748,31.81924
1.362972975,3.732,1.645,30.87582,31.1268,31.46585,31.58334,31.79935,31.75381,31.78137,31.81378
1.439249992,3.898,1.721,30.87888,31.1218,31.4592,31.57642,31.78958,31.74426,31.77228,31.80453
1.513123989,4.008,1.804,30.88177,31.11871,31.45367,31.57065,31.78354,31.73865,31.76639,31.79822
